filename,duration,tempo,detected_key,key_confidence,num_phases,energy_range,brightness_range,has_climax,has_breakdown,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_bandwidth_mean,zero_crossing_rate_mean,rms_mean,rms_std,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,chroma_C_mean,chroma_C#_mean,chroma_D_mean,chroma_D#_mean,chroma_E_mean,chroma_F_mean,chroma_F#_mean,chroma_G_mean,chroma_G#_mean,chroma_A_mean,chroma_A#_mean,chroma_B_mean,tonnetz_1_mean,tonnetz_2_mean,tonnetz_3_mean,tonnetz_4_mean,tonnetz_5_mean,tonnetz_6_mean,mood_descriptors,character_tags,primary_mood,primary_character,cluster
Timeliner.wav,172.87256235827664,[101.33272059],C,0.46177843,10,0.16294008,1515.7756782122692,True,False,1277.0237248825192,889.5078363364867,1891.5294302661844,1268.617676859008,0.04837738871214156,0.15947461,0.108175255,-304.08337,124.6389,-1.4438295,-9.764288,-3.7132466,-0.74167705,1.1782119,-2.1554563,-9.318468,-12.157224,-11.279967,-10.926027,-10.671216,83.81317,45.6289,49.599335,29.23507,19.905605,16.99862,14.165358,13.17374,15.24301,14.8465,13.782441,12.589721,13.214369,0.46177852,0.1947969,0.14241913,0.16885747,0.13438977,0.18027559,0.2306928,0.33132452,0.116231956,0.1006161,0.23869936,0.25079736,-0.1396207743345886,0.4423326760733634,0.17289403916426363,0.03723139156745219,0.09314711095141096,0.09696557073839195,energetic,warm_harmonics,energetic,warm_harmonics,4
2021 04 18 grampy rabbit.aif,526.0,[57.421875],D,0.69716,12,0.13230556,11999.085046342872,True,False,926.4493319466161,1233.168748345936,1243.6596378997815,2162.0488510163495,0.01515078326753079,0.11713314,0.0455148,-297.71075,194.80563,43.667377,14.642379,18.953075,19.751642,8.686943,1.3836354,1.614862,-0.14361417,0.27015573,-0.525479,-0.4114779,49.58756,24.136923,35.94427,22.00901,11.565994,10.370788,8.6398,8.175184,7.4246573,6.78259,6.8068094,7.614177,7.761123,0.60995704,0.63473684,0.69716084,0.63048714,0.63529664,0.63361174,0.5896462,0.5434078,0.56393117,0.5534713,0.5378572,0.57796687,-0.03833698970580267,-0.018825279584312526,-0.017068920256849616,-0.076347292721061,-0.015786444742390993,0.019436157805153356,energetic,warm_harmonics,energetic,warm_harmonics,2
2021 12 20 chiminy biscuits.aif,328.0,[129.19921875],D,0.70156795,24,0.016782269,13043.996160986631,False,False,1556.5979714597593,1684.610656285417,2556.0724596792925,3007.5794574979263,0.01999628552292758,0.012498899,0.007490596,-495.79446,160.34956,24.087229,25.655993,15.955616,11.093805,10.327885,7.144257,6.326082,5.5943346,5.0592155,3.9714532,2.7136483,64.30362,37.059067,25.698671,12.9039545,12.12816,10.066581,8.922059,9.940856,7.4382067,7.110352,6.7474933,7.022443,6.234815,0.5214631,0.5668003,0.7015698,0.64086854,0.58227175,0.54643965,0.5183907,0.5797567,0.59966826,0.5404838,0.5255385,0.52260727,-0.043033591606633836,-0.03578166640439944,0.07035224290263814,0.11403203387869633,0.04611559678180831,-0.05302398798406963,subtle,rich_texture,subtle,rich_texture,2
2023 04 13 centers.aif,576.5,[126.04801829],D,0.583298,2,0.010979681,10617.379336828355,False,False,2305.3786914212574,1019.7430780716039,3444.552749478915,2405.9877889581912,0.06906683018227908,0.010998242,0.009148154,-447.12784,148.64255,-91.412254,-41.407482,-13.848606,-26.274391,-24.015081,-21.062735,-9.563791,2.8229492,6.152131,4.8488135,8.416507,94.91818,49.601868,19.75039,20.79304,9.233272,11.164499,7.661305,9.664722,8.129183,7.7115245,7.379793,6.384092,6.28944,0.27940762,0.33104017,0.58329403,0.42805165,0.53171575,0.57141465,0.5615476,0.34841278,0.35604078,0.48976105,0.4594457,0.29502618,0.0997096200130188,0.014192886426358655,-0.088482777599614,-0.08702299764533115,-0.01593597443396758,-0.012171667531076368,spacey,rich_texture,spacey,rich_texture,3
2022-12-14 a quatrax cosmos memory.aif,692.0,[126.04801829],C#,0.5870455,30,0.08700474,2180.376469292575,False,False,1008.6090357406522,545.3617915445565,1444.1751128738738,1646.2453903693286,0.030321615173163712,0.094177805,0.039855413,-304.7127,215.84822,36.293655,-24.372618,-19.978819,-9.850459,-12.06719,-13.134967,-11.850747,-9.552648,-8.4337225,-5.71198,-4.4592466,59.124214,31.319115,42.189384,24.664663,19.592068,14.696017,10.161283,10.178056,10.235777,8.53781,7.7943068,7.5049057,7.5276613,0.5197051,0.58704454,0.41760153,0.4952298,0.28184527,0.17190322,0.19672757,0.23349872,0.19380249,0.2141821,0.33685488,0.44190097,-0.08130156537703577,-0.0688893942192571,0.03916805092435917,-0.002238161932848759,0.035141148355912255,0.0024561204962588556,driving,warm_harmonics,driving,warm_harmonics,0
2022 01 15 dont pick up.aif,436.5,[184.5703125],C#,0.6639375,27,0.14509082,10380.822416962701,True,False,2154.398094594758,1311.6800182688146,4198.604621098841,3984.1973337703084,0.053551233413736465,0.049320698,0.03947595,-369.4541,177.6947,82.75976,3.952351,-7.609811,9.626956,-16.07981,10.128938,-16.21631,-1.311308,-0.16298598,-11.436121,11.490729,48.898922,34.090366,24.679377,18.183783,9.532059,7.176782,7.6040106,6.943471,6.764861,6.580557,5.8844514,5.8503933,5.6870675,0.6271267,0.663933,0.5834309,0.46103346,0.2932984,0.32956064,0.26595855,0.35874358,0.425922,0.46024787,0.5265506,0.535262,-0.09942495600546898,-0.0062212858176671606,-0.10264793586745521,0.0731456870775937,-0.014873698052295407,-0.04678387422695054,balanced,rich_texture,balanced,rich_texture,2
2022 06 05 negative 60.aif,252.0,[74.89809783],C,0.79540247,4,0.03012022,13400.864277428449,False,True,1494.544780374897,2822.0700138513585,2306.8383804809155,2168.4679342566105,0.029540993129779786,0.026594289,0.01965568,-496.1347,166.54582,26.214373,14.6287775,35.1009,15.98385,0.58556765,-1.0962682,-2.8492796,-3.7016551,-4.40893,-4.289462,-6.1264973,100.20287,70.255974,33.69308,16.34872,14.387198,9.851951,9.406603,7.8137302,7.997764,6.701828,8.643881,7.2352967,7.350731,0.795405,0.49928138,0.24498186,0.16486573,0.14036432,0.08275078,0.2849647,0.50357187,0.35547847,0.38262817,0.44869226,0.6126146,0.12602288551851587,-0.1573504005987605,0.3401457819986828,0.12211147030182982,-0.11641142673994537,0.010439155757724356,balanced,,balanced,unknown,1
2022 09 17 caving in.aif,568.0,[63.02400915],C,0.5972916,34,0.5531505,9790.828984812066,True,False,1242.2664179113585,879.5784800477908,1915.2984012831125,2610.2254991630093,0.016780411326751697,0.14525588,0.11524646,-269.27795,153.15204,34.700115,17.444963,0.93688905,-2.6803443,-3.5095959,0.2798561,0.8227202,1.393292,1.0494084,1.1927804,1.3388045,64.37277,30.134699,29.05069,17.29718,17.2392,17.425844,14.018108,11.858547,10.617733,9.709378,8.480143,7.9357557,7.7599177,0.59729254,0.44963175,0.34542528,0.38292727,0.40573707,0.38819802,0.49499935,0.42894447,0.336929,0.33774963,0.4797583,0.55445164,-0.041880865106940224,-0.13589774830938786,0.04940682127283457,-0.08270990763315676,0.003040696526738711,0.01966597611185588,energetic,"rich_texture, warm_harmonics",energetic,rich_texture,0
2022-09-25 while madeline sleeps.aif,642.0,[178.20581897],C,0.6199126,24,0.26360443,10013.310920126669,True,False,1170.3290876055116,1216.4769693551043,1813.0553609816359,2012.4682281246191,0.025568054987296106,0.14057961,0.09197319,-266.54184,188.65138,23.15339,2.296509,-0.3445745,-6.5434422,-6.652746,-8.677281,-8.716883,-7.3337655,-6.017795,-3.7908056,-0.8714741,76.33772,45.459778,27.719767,19.35805,20.552834,14.712269,12.759353,11.777084,10.449472,9.663626,9.545314,8.702339,7.8299346,0.61991477,0.34515783,0.27921596,0.43559718,0.33506477,0.2900186,0.5055565,0.55173063,0.3668918,0.2932061,0.21466492,0.34386384,-0.023881262996444184,0.03620177579365363,0.10994129130288012,-0.009551727583007295,-0.028332835671085084,0.042136897390616136,energetic,warm_harmonics,energetic,warm_harmonics,0
